in:Solar Chimney Height (m),in:SC Orientation,in:Room Orientation,in:Room Width(m),in:Room Depth(m),out:FlowRate_m3/hr,out:TotalDiscomfortHours,out:TooHotDiscomfortHours,out:OT_TotalDiscomfortHours,out:OT_TooHotDiscomfortHours,out:NS_OT_TotalDiscomfortHours,out:NS_OT_TooHotDiscomfortHours,out:TotalEnergy,out:CoolingEnergy
6,0,-1,18,14,3505.540659,1977,1977,1339,1339,728,728,22.621707,21.409275
7,0,-1,18,14,3683.731446,1895,1895,1266,1266,707,707,22.312081,20.903664
8,0,-1,18,14,3835.278548,1825,1825,1203,1203,695,695,22.147839,20.572261
4,1,-1,18,14,3130.401338,2398,2398,1698,1698,789,789,23.121793,22.285399
5,1,-1,18,14,3326.092673,2158,2158,1498,1498,773,773,23.410468,22.397589
6,1,-1,18,14,3528.829887,1993,1993,1352,1352,752,752,22.78698,21.618749
7,1,-1,18,14,3708.470059,1907,1907,1271,1271,729,729,22.450451,21.097346
8,1,-1,18,14,3848.989624,1837,1837,1211,1211,713,713,22.258907,20.73956
4,2,-1,18,14,3100.045193,2342,2342,1654,1654,770,770,23.09963,22.225316
5,2,-1,18,14,3302.858189,2114,2114,1460,1460,755,755,23.106483,22.074282
6,2,-1,18,14,3501.758702,1965,1965,1327,1327,726,726,22.593168,21.371542
7,2,-1,18,14,3668.667296,1885,1885,1257,1257,712,712,22.354953,20.941395
8,2,-1,18,14,3831.279085,1821,1821,1198,1198,694,694,22.160214,20.560641
4,3,-1,18,14,3082.6025,2334,2334,1644,1644,782,782,23.120565,22.202838
5,3,-1,18,14,3320.464085,2104,2104,1448,1448,749,749,23.203613,22.111181
6,3,-1,18,14,3506.329539,1954,1954,1317,1317,734,734,22.710829,21.408741
7,3,-1,18,14,3666.863745,1879,1879,1251,1251,712,712,22.430779,20.949111
8,3,-1,18,14,3837.283923,1817,1817,1193,1193,700,700,22.211032,20.546186
4,0,0,18,14,3084.074327,2347,2347,1676,1676,712,712,22.465802,21.627738
5,0,0,18,14,3285.530041,2115,2115,1476,1476,685,685,22.551155,21.544655
